name,objectID,picIDs,picURLs,categoryName,typeName,period,dynasty,year
清同治十一年青花香炉,D233DC2E698A4A07A91CFF20C0FDB39A,"201901291141260958521,201901291141260958522,201901291141260958523,201901291141260958524,201901291141260958525,201901291141260958526,201901291141260958527,201901291141260958528,201901291141260958529,201901291141260958530,201901291141260958531,201901291141260958532,201901291141260958533,201901291141260958534,201901291141260958535,201901291141260958536,201901291141260958537,201901291141260958538,201901291141260958539,201901291141260958540,201901291141260958541,201901291141260958542,201901291141260958543,201901291141260958544,201901291141260958545,201901291141260958546,201901291141260958547,201901291141260958548,201901291141260958549","http://files.bjmuseum.org.cn/baijing/01/11010821800136/TC-005/THUMB/40_1101082180013600000016-A-0001.jpg,http://files.bjmuseum.org.cn/baijing/01/11010821800136/TC-005/THUMB/40_1101082180013600000016-A-0002.jpg,http://files.bjmuseum.org.cn/baijing/01/11010821800136/TC-005/THUMB/40_1101082180013600000016-A-0003.jpg,http://files.bjmuseum.org.cn/baijing/01/11010821800136/TC-005/THUMB/40_1101082180013600000016-A-0004.jpg,http://files.bjmuseum.org.cn/baijing/01/11010821800136/TC-005/THUMB/40_1101082180013600000016-A-0005.jpg,http://files.bjmuseum.org.cn/baijing/01/11010821800136/TC-005/THUMB/40_1101082180013600000016-A-0006.jpg,http://files.bjmuseum.org.cn/baijing/01/11010821800136/TC-005/THUMB/40_1101082180013600000016-A-0007.jpg,http://files.bjmuseum.org.cn/baijing/01/11010821800136/TC-005/THUMB/40_1101082180013600000016-A-0008.jpg,http://files.bjmuseum.org.cn/baijing/01/11010821800136/TC-005/THUMB/40_1101082180013600000016-A-0009.jpg,http://files.bjmuseum.org.cn/baijing/01/11010821800136/TC-005/THUMB/40_1101082180013600000016-A-0010.jpg,http://files.bjmuseum.org.cn/baijing/01/11010821800136/TC-005/THUMB/40_1101082180013600000016-A-0011.jpg,http://files.bjmuseum.org.cn/baijing/01/11010821800136/TC-005/THUMB/40_1101082180013600000016-A-0012.jpg,http://files.bjmuseum.org.cn/baijing/01/11010821800136/TC-005/THUMB/40_1101082180013600000016-A-0013.jpg,http://files.bjmuseum.org.cn/baijing/01/11010821800136/TC-005/THUMB/40_1101082180013600000016-A-0014.jpg,http://files.bjmuseum.org.cn/baijing/01/11010821800136/TC-005/THUMB/40_1101082180013600000016-A-0015.jpg,http://files.bjmuseum.org.cn/baijing/01/11010821800136/TC-005/THUMB/40_1101082180013600000016-A-0016.jpg,http://files.bjmuseum.org.cn/baijing/01/11010821800136/TC-005/THUMB/40_1101082180013600000016-A-0017.jpg,http://files.bjmuseum.org.cn/baijing/01/11010821800136/TC-005/THUMB/40_1101082180013600000016-A-0018.jpg,http://files.bjmuseum.org.cn/baijing/01/11010821800136/TC-005/THUMB/40_1101082180013600000016-A-0019.jpg,http://files.bjmuseum.org.cn/baijing/01/11010821800136/TC-005/THUMB/40_1101082180013600000016-A-0020.jpg,http://files.bjmuseum.org.cn/baijing/01/11010821800136/TC-005/THUMB/40_1101082180013600000016-A-0021.jpg,http://files.bjmuseum.org.cn/baijing/01/11010821800136/TC-005/THUMB/40_1101082180013600000016-A-0022.jpg,http://files.bjmuseum.org.cn/baijing/01/11010821800136/TC-005/THUMB/40_1101082180013600000016-A-0023.jpg,http://files.bjmuseum.org.cn/baijing/01/11010821800136/TC-005/THUMB/40_1101082180013600000016-A-0024.jpg,http://files.bjmuseum.org.cn/baijing/01/11010821800136/TC-005/THUMB/40_1101082180013600000016-B-0001.jpg,http://files.bjmuseum.org.cn/baijing/01/11010821800136/TC-005/THUMB/40_1101082180013600000016-C-0001.jpg,http://files.bjmuseum.org.cn/baijing/01/11010821800136/TC-005/THUMB/40_1101082180013600000016-C-0002.jpg,http://files.bjmuseum.org.cn/baijing/01/11010821800136/TC-005/THUMB/40_1101082180013600000016-C-0003.jpg,http://files.bjmuseum.org.cn/baijing/01/11010821800136/TC-005/THUMB/40_1101082180013600000016-F-0001.jpg",瓷器,炉,清,同治,1871.0
清康熙款景德镇窑白釉绿彩双龙戏珠纹盘,d2f837b81fa64a1bbab8b34446d10c30,3767e4a1-76f2-11e9-85ba-4ccc6a492333,http://files.bjmuseum.org.cn/baijing/09shoubo/11010221800037/THUMB/40_4.1430.jpg,瓷器,盘,清,康熙,1691.5
清咸丰款景德镇窑粉彩卧牛图盖碗,d392c2d1afd94928b70be6db26372994,35a537e9-76f2-11e9-85ba-4ccc6a492333,http://files.bjmuseum.org.cn/baijing/09shoubo/11010221800037/THUMB/40_4.1362.jpg,瓷器,碗,清,咸丰,1855.5
清乾隆景德镇窑粉彩山水人物纹挂屏,d3b79e8f42fa48158931ed11e4497232,3fc14728-76f2-11e9-85ba-4ccc6a492333,http://files.bjmuseum.org.cn/baijing/09shoubo/11010221800037/THUMB/40_4.1765.jpg,瓷器,NA,清,乾隆,1765.5
清光绪仿乾隆款景德镇窑粉彩云龙纹转心瓶,d3ee2080dfc242e3ba5f8ca911b578d2,3543fe08-76f2-11e9-85ba-4ccc6a492333,http://files.bjmuseum.org.cn/baijing/09shoubo/11010221800037/THUMB/40_4.1348.jpg,瓷器,瓶,清,乾隆,1765.5
清乾隆款景德镇窑青花海水龙纹高足盘,d40ee36d15d7453cabeaa4e2066a8734,413ed795-76f2-11e9-85ba-4ccc6a492333,http://files.bjmuseum.org.cn/baijing/09shoubo/11010221800037/THUMB/40_4.1823.jpg,瓷器,盘,清,乾隆,1765.5
清乾隆景德镇窑青花缠枝花卉纹罐,d47b7c6ed99d49eba86ebe4b1467e7f4,46b2eedc-76f2-11e9-85ba-4ccc6a492333,http://files.bjmuseum.org.cn/baijing/09shoubo/11010221800037/THUMB/40_4.2055.jpg,瓷器,罐,清,乾隆,1765.5
清康熙景德镇窑青花锦地寿字纹瓶,d628ebc6e4b84bbe8badfb12127ff5dc,37e83822-76f2-11e9-85ba-4ccc6a492333,http://files.bjmuseum.org.cn/baijing/09shoubo/11010221800037/THUMB/40_4.1450.jpg,瓷器,瓶,清,康熙,1691.5
清嘉庆景德镇窑斗彩折枝花卉纹枕,d63fa4ecca9b40a38a9b42833e741f24,47c7c77a-76f2-11e9-85ba-4ccc6a492333,http://files.bjmuseum.org.cn/baijing/09shoubo/11010221800037/THUMB/40_4.2097.jpg,瓷器,NA,清,嘉庆,1808.0
清宣统醴陵窑釉下五彩花卉镂空瓶,d65542c3fd0d49e3a38e1c0c914c2789,4224d105-76f2-11e9-85ba-4ccc6a492333,http://files.bjmuseum.org.cn/baijing/09shoubo/11010221800037/THUMB/40_4.1860.jpg,瓷器,瓶,清,宣统,1910.0
